Name,Description,Phone,Email,Location
Yellow Cloud Studio Ltd,"['Yellow Cloud Studio is a young architecture and design practice based in Hackney, London working on residential and commercial projects throughout Europe.', 'It is the conceptual child of two architects with fresh ideas and diverse education, a combination of factors that becomes evident in their work.', 'The studio aims to design and realise beautiful yet practical and enjoyable spaces while challenging ideas and materials.', 'Designing every aspect of the project, from exteriors to bespoke interiors, we are aspiring to provide an interdisciplinary service and give every space our unique and loving stamp.']",[],['info@yellowcloudstudio.com'],"[""'London, GB'"", ""''""]"
O'Sullivan Skoufoglou Architects,"['O’Sullivan Skoufoglou Architects is a London based practice that was established in 2016 by Jody O’Sullivan and Amalia Skoufoglou having met whilst in practice together fifteen years previously. The studio enjoys involvement in projects of all scales, types and location. Understanding clients’ briefs is key to finding imaginative yet thoughtful solutions that respond to situation and context. The approach is collaborative and the work is informed by working closely with colleagues and craftspeople involving the careful approach to materials and construction.']","[""'+44 (0)20 7226 0266'""]",['info@osullivanskoufoglou.com'],"[""'27 Beresford Road'"", ""'London, GB, N5 2HS'"", ""''""]"
Corsini Stark Architects,"['We believe that design is a series of complex problems to be solved with an agenda beyond art — that contextual relevance and functionality are prerequisites for good design.', 'We seek the “Big Idea” that makes a project beautiful and relevant, and sweat the details of its execution, whether at the scale of a campus master plan, a new building, or a logo for a new restaurant. We see the experience of architecture as a fluid, integrated whole, and strive to seamlessly integrate building and site, form and space, light and material, style and use.', 'Rick and Anthony have collaborated since 1997 and combined bring over forty years of professional experience in masterplanning, retail and restaurant design, institutional and multi-family housing, higher education facilities, historic preservation/adaptive reuse, and urban infill mixed-use development.', 'Recent firm recognition includes design awards from the Los Angeles Business Council, Southern California Development Forum, and the Los Angeles Chapter of the AIA.']","[""'323-255-9100'""]",['info@corsinistark.com'],"[""'3630 Tyburn Street'"", ""'Los Angeles, CA, US, 90065'"", ""''""]"
"GKW Architects, Inc.","[' is a full service architectural firm established in 2010 that is founded on the belief of honest business practices and solving problems with exceptional solutions. We collaborate with our clients to create buildings and communities for people to live, work, play. \xa0Our firm delivers consistent exemplary services with every project that includes initial analysis, design development, construction documents, and construction administration. Using high-level design software, we work as a team to transform ideas into buildings and communities. These projects are located on the West Coast ranging from residential remodels to commercial expansions and mixed-use high-rise developments in the city.', 'The ', '\xa0includes skilled and passionate individuals with diverse skillsets who cover all facets of architectural design, including master planning, renovations, zoning analysis, layouts, interior design, ground-up construction, and tenant improvements. Our goal is to get everyone excited about new projects before and after they are constructed. The office prides in our state of the art 3-D printer that produces building and site models. ', ' strives for excellence in every aspect of our work.', 'Visit our website: ']","[""'408-796-1845'""]",['jennychen@gkwarchitects.com'],"[""'710E McGlincy Lane Suite 109'"", ""'Campbell, CA, US, 95008'"", ""''""]"
Bricault Design,"['\n\tBricault Design is based in Vancouver, Canada, and pursues projects in architecture, interior design, graphic design, and product development. Our collective background includes academic training in architecture, industrial design, and fine arts, as well as millwork and project management experience. A hands-on knowledge of various fabrication techniques allows us to develop achievable solutions, producing work that is characteristically playful and surprising.']",,,
Smaller Architects,"['Smaller Architects is a Korean architecture office based in Seoul.\xa0', 'It was founded in 2016, by an architect Choi, Min Wook. Smaller means small and better. We are trying to go beyond architectural theory & idea and pursuing to look more carefully into context and to design architecture that fit into their surroundings. Its works range from architecture and smaller-scale interior and design furniture. Smaller architects also participate in various lecture, exhibitions and research with collaborators in art & design field.']","[""'02-4703-4943'""]",['smallerarchitects@'],"[""'39, Dongsung-gil'"", ""'Jongno-gu'"", ""'Seoul, KR, 110-809'"", ""''""]"
Paul Michael Davis Architects PLLC,"['Based on Capitol Hill, Seattle Architect Paul Michael Davis provides design services for residential and commercial projects at any scale or budget.', 'Paul has several years of experience working in leading architecture firms in Los Angeles, New York City, and Seattle.\xa0 He has led the design and construction of numerous projects, from creative designs for three children’s libraries on very limited budgets to a major renovation and addition to a landmark townhouse for a hedge fund.\xa0 While working in Frank Gehry’s Los Angeles office, Paul had the opportunity to develop advanced architectural forms and concepts on projects such as the Louis Vuitton Foundation contemporary art museum in Paris.\xa0', 'Paul attended the University of Washington, earning two Bachelor’s degrees in 2000, and a Master of Architecture in 2003. Paul is a registered architect in Washington State and a LEED Accredited Professional.\xa0 He is also on the Interior Design faculty at Bellevue College.']","[""'2068909229'""]",['paul@paulmichaeldavis.com'],"[""'1221 East Pike Street'"", ""'#300'"", ""'Seattle, WA, US, 98122'"", ""''""]"
Rural Office for Architecture,"['Rural Office for Architecture (ROA) is a multi-award winning architectural practice based in West Wales. The practice is based in Carmarthenshire, but works across the UK. ', 'The practice specialises in bespoke high quality design solutions across a range of sectors for residential, commercial, arts, educational and civic projects.', 'ROA was recently selected by the Architecture Foundation as one of the best emerging practices in the UK, and featured by Rowan Moore in the Observer as one of the best small practices.', 'The practice has won a RIBA award for every project it has completed since 2012, recently receiving a RIBA National Award for its ground breaking Carbon Neutral Estate in Kent. Caring Wood has also been shortlisted for the RIBA House of the Year 2017.', 'In 2015 they won the Grand Designs ‘Self Build on a Shoestring’ competition, and continue to win competitions, most recently the Visit Wales Epic Retreats, which was televised on Channel 4 this summer.']","[""'01559 505008'""]",['enquiries to enquiries@r-o-a.co.uk'],"[""'Pantybara Farm'"", ""'Felindre, Llandysul'"", ""'Carmarthen, GB, SA445XT'"", ""''""]"
ChristophHesseArchitects,"['Christoph Hesse, born 1977, grew up in the highland area of Sauerland, Germany. He recieved a Diploma in Architecture from ETH Zurich and a Master of Architecture in Urban Design with Distinction from Harvard University.', 'He is the founder if Christoph', 'Architects, an award winning design firm based in Korbach, Germany. H lectures regularly at conferences and universities in Europe, America ad Southeast Asia.', 'Christoph Hesse has taught architecture and urban design at University of Kassel, TU Darmstadt, University of Architecture Saigon, Harvard University, and Cairo University.']","[""'+49 05631 50 14 578'""]",['mail@christophhesse.eu'],"[""'Am Hauptbahnhof 12A'"", ""'Korbach, DE, 34497'"", ""''""]"
RRA Arquitectura,"['Founded in 2009, RRA architectural firm has its headquarters in Caracas, Venezuela. The firm’s policy is to direct its explorations and investigations towards a diversity of scales and uses which include the development of Architectural projects as well as Urban and Interior designs. Since its foundation, the firm has worked under the concept that collaboration and/or association with other professionals from the Design and Construction areas enriches the vision of a project. We take pride in our work and therefore supervise and manage each of our projects throughout its construction process.']","[""'+58 4122141585'""]",['r_rebolledoarq@yahoo.es'],"[""'Caracas, VE'"", ""''""]"
Future Expansion Architects,"['\xa0(FE)\xa0is a design office in Brooklyn, NY working on architecture and urban design projects for private and public clients.', 'Future Expansion was founded on the belief that the future provides us with the opportunity to constantly improve on the past, that previous solutions should not preclude new inventions, and that architecture and urban design are meaningful cultural tools in this endeavor.', 'For more information visit ']",,,
"David Bucovy Architect, PLLC","['David Bucovy Architect is a Brooklyn based architecture firm committed to providing clients with excellent design. \xa0\xa0The firm provides all architectural services including design, construction documents, building code analysis, coordination with city and state agencies, bidding and negotiation with builders all the way through construction administration.\xa0 Clients receive a highly personalized service that endows them with ownership of the design and construction process.\xa0 Its architecture dwells in a dual dialogue where beauty and commodity exist side by side with the most rigorous construction details and interactions with the building team in the field during construction.']","[""'718 369 0212'"", ""'718 369 0305'""]",['david@davidbucovyarchitect.com'],"[""'334 East 7th Street'"", ""'Brooklyn, NY, US, 11218'"", ""''""]"
Montroy Andersen DeMarco Group Inc. (MADGI),"['Founded in 1990, Montroy Andersen DeMarco\xa0Group, Inc. (MADGI) has continually expanded its multi-faceted knowledge as an interior design firm in New York City.\xa0 Focused on client needs, MADGI specializes in providing service – and with the vast experience of its leading partners, is able to deliver diverse solutions for every challenge.\xa0\xa0 An integrated practice, the firm is well acquainted with the city’s design landscape, technical requirements and vital real estate communities; allowing MADGI to create widespread value.\xa0 An amiable and expert, collaborative firm, we offer award winning design without sacrificing the necessary personal attention and technical expertise required to create new form and space.\xa0\xa0']","[""'(212) 481-5900'"", ""'(646) 568-6097'""]",['nharris@madgi.com'],"[""'99 Madison Avenue'"", ""'14th Floor'"", ""'New York, NY, US, 10016'"", ""''""]"
SMLA,"['Shawn M. Lutz / Small Medium Large / Architecture is a Houston based practice. Founded by Shawn M. Lutz, the practice developed as a platform providing design solutions through enriched knowledge of research and innovation to the complex issues facing the world today. \xa0', 'SMLA is currently expanding the already substantial architectural portfolio with ongoing residential, commercial, and institutional environments.\xa0']",[],['office@smla.co'],"[""'Houston, TX, US'"", ""''""]"
Joris Verhoeven Architectuur,"['The firm is active in projects of modest scale and serves mainly yhe private market.', 'If a client has specific needs, this will be translates into an unique design full of character. High-end detailed and purely materialized .']","[""'0031645746110'""]",[],"[""'Tongerlose Hoefstraat 63'"", ""'Tilburg, NL, 5046NE'"", ""''""]"
Tres Birds Workshop,"[' is a full-service architecture and general contracting firm based in Denver, Colorado. Our primary objective is to unite humans with natural systems through the built environment.', 'The natural world runs on highly sophisticated and efficient systems that create balance and order. We seek to mimic this efficiency and view each project as a total system to be approached in an entirely integrated and holistic manner, using cross-disciplines: art, science (biology, ecology), anthropology, architecture and construction management.', 'From historical renovations and commercial retrofits to new construction, from dynamic office space and creative studios to retail and mixed-use development, from single family homes to multi-unit residential buildings, from civic engagement to private, non-profit and public sectors, from temporary installations to permanent fixtures, locally, domestically or abroad: our goal is to work on projects with people who share values of environmental stewardship, human health, community enrichment and artistic appreciation.', 'tres birds workshop simplifies the building process; the same people who design are also the same people who build. Each person on tres birds workshop’s core team is educated in architecture and has deep construction knowledge or experience. This creates nimble and seamless management across all phases of the project, eliminating overlapping costs as well as providing one point of responsibility for the client, ensuring a consolidated and cohesive process from start to finish.', 'tres birds workshop uses reclaimed materials as well as new materials. In either case, materials are selected for their inherent structural qualities. The advantage to sourcing local and reclaimed items not only reduces materials cost for the client, but it lowers the overall embodied energy of the project, adding rich sustainable value.', 'Art-making and the creative process is central to the architecture work of tres birds workshop. The tres birds workshop team crystalizes their designs through the belief that creativity is infinite and a necessary tool to transform any space into an inspiration-invoking place for building inhabitants. This view of creativity is extended to the use of materials, with the ability to reinvent run-down spaces, discarded materials or materials with low market value into something new, beautiful and purposeful.', 'tres birds workshop is a leader in creating distinct design experiences as well as tailored environments that align with individual client lifestyles, workflows and desires. tres birds workshop is concerned with how humans as a species can come into greater balance with our natural potential as part of a vast and delicate web. The built environment is one of human’s greatest manifestations; as designers and makers in this realm, we seek to bring about collaborative solutions that ultimately impact both people and the planet in positive ways. Lowering embodied energy, increasing use of day lighting and connecting humans to nature are top priorities in the architecture of tres birds workshop.', ""Mike M. Moore is an artist who has chosen architecture as his primary medium, founding tres birds workshop in 2000. Mike's career formally began at the University of California at Berkeley where he studied both Environmental Biology and Fine Art. With a desire to merge both ecological systems science and modern design principles, he completed a Masters in Architecture at the University of Colorado at Denver."", '\xa0', 'To view full project portfolio visit: ']",,,
"Letter Four, Inc","['LETTER FOUR, INC. is a full service design and construction firm\xa0offering the seamless integration of architecture and construction that addresses the diverse goals of our clients. Our team is committed to creating inspired, original works that are feasible and achievable given any project challenge. Our mission is to design and build\xa0great spaces\xa0with great people.', 'ARCHITECTURE LICENSE #C30146 / CONTRACTOR LICENSE #B1028949', 'As our Client, you are our partner; we listen to your wants and needs and incorporate your vision throughout the design and development process. We work hand-in-hand with you and your team to ensure that the end result, whether it is a dream home, retail environment, office, restaurant, or brand image— will always speak to you and your vision.']","[""'3232751140'"", ""'3232751140'""]",['info@letterfour.com'],"[""'8695 Washington Blvd.'"", ""'Suite 205'"", ""'Culver City, CA, US, 90232'"", ""''""]"
"Verdant Studio, LLC","['Founded by architect Jessica Hester, Verdant Studio is passionate about creating spaces people love.', ""Verdant Studio is an ideas studio focused on thoughtful design through the lens\n of architecture, interiors, research, and planning. \xa0We pride ourselves\n on creating highly efficient layouts that make our partner's lives \neasier.\xa0 We are passionate \nabout great design and we are grateful to our partners that trust us to \ndesign great spaces with them. \xa0We refer to our ‘clients’ as partners, \nbecause that is how our design process moves. \xa0We work WITH them to \ncreate spaces that meets all of their goals."", 'The name VERDANT, as defined by Webster, means “green in tint or color.” \xa0We \nlove this! \xa0We are proud of our dedication to sustainable, “green”, architecture. \xa0We include passive sustainability in all of our designs. \n\xa0We figure there are some things that just make sense and help our \npartners save money over the long-haul. \xa0We try to help our partners \nmake the best economical and environmental decisions, we do not believe \nthat one is autonomous to the other. \xa0Balance is the key. \xa0', 'Why\n did we add ‘studio’ you ask… Well, we like to think of ourselves as a \ncreative think tank, a space where all ideas are valid and worth parsing\n through. \xa0Although our primary focus is architecture, we are also \ninterested in many other forms of creativity and our studio space \nprovides a venue to pursue various avenues of design.', 'Thus you have Verdant Studio.']","[""'479-202-8631'""]",['jessica@verdant-studio.com'],"[""'217 E Dickson St'"", ""'Suite 106'"", ""'Fayetteville, AR, US, 72701'"", ""''""]"
Frampton Co,"['Frampton Co designs and creates interior experiences. Our approach is characterized by a commitment to design’s relevance to daily life and our human connection to the spaces we inhabit. The studio maintains a diverse portfolio, from carefully orchestrated residences with signature details to contextually sensitive and lifestyle-branded commercial projects. Combining a distinct aesthetic sensibility with methodical implementation, our attentive client collaborations bring a unique voice to each project. Under the creative direction of Elena Frampton, the work is marked by engaging balanced atmospheres, sculptural compositions, meticulous craftsmanship, dimensional palettes, and confident unexpected choices. Our clients serve as inspiration as we turn aesthetic visions into joyous functional realities.']","[""'212-448-1091'"", ""'212-448-1093'""]",['info@framptonco.com'],"[""'54 West 21st Street, Suite 501'"", ""'New York, NY, US, 10010'"", ""''""]"
Studio MM,"[', founded in 2010 by\xa0', ', is an architecture firm based in New York City and focused on contemporary residential design. Projects include new homes, renovations and furniture design in and around NYC. Among others, we have recently completed TinkerBox\xa0', '\xa0, and are currently designing other contemporary houses in Upstate NY’s Hudson Valley region and in various cities throughout the Eastern United States.\xa0', 'Studio MM prides itself on designing custom modern homes for contemporary living. We believe that successful design is built on supportive and honest partnerships with our clients, each of our studio members and outside collaborators.', 'We approach each of our designs with site-specific ideas and client-driven inspiration, working closely to create cohesive and elegant solutions for modern homes. We are committed to efficient and smart design by preserving natural conditions as much as possible and collaborating with skilled local craftsmen.', 'Our studio vows that we will always emphasize client-focused design and we are as committed to the process of designing a home as we are to the end product. We love what we do and are excited to share our passion for design with our clients.']",[],['jobs@maricamckeel.com'],"[""'United States'"", ""'New York, NY, US, 10005'"", ""''""]"
SITU,"[', by four friends studying architecture at the Cooper Union. We’ve shaped our practice out of the multi-disciplinary style of our education, and have grown through clients who value a progressive approach to problem-solving. ', ' is client-specific, adaptive and driven by a diversity of deep knowledge, untethered from any stylistic or formal agenda. This allows us to work out of bounds, using new tools of architecture to generate unique outcomes. ', ' is composed of three divisions—Studio, Research and Fabrication—that work collaboratively while providing individual services. This keeps prototyping, research and development and hands-on craft elemental to our creative process.', ' is split between creative studio and workshop. This enables a unique sort of radical pragmatism—experimenting with new material possibilities as they’re imagined. ', ' is made up of a wide range of specialists across disciplines: architecture, art, design, engineering, fabrication, geography, programming, urbanism, visualization, research and development—all dedicated to exploring and crafting spaces at multiple scales. ', ' come from an equally varied collection of sectors: museums, art centers and academic institutions; civic, social and professional organizations; developers, high-end commercial companies and residential clientele. ', ' including grants from the John D. and Catherine T. MacArthur Foundation and Oak Foundation, ', ' Best of Year in 2014 and 2011 and an award for Excellence in Design by the Art Commission of the City of New York.']","[""'(718) 237-5795'""]",['info@situ.nyc'],"[""'Brooklyn Navy Yard, 141 Flushing Ave'"", ""'Bldg 77, Suite 508'"", ""'Brooklyn, NY, US, 11205'"", ""''""]"
montgomery + townsend architecture  design,"['Founders, Andrew and Steven met in architecture school at Virginia Tech in Blacksburg, Virginia. As a result of spending countless hours together in studio and studying abroad in Switzerland, together they refined their common design aesthetic. After almost eight years of working independently at different boutique firms where they gained valuable experience, Andrew and Steven jumped on the opportunity to join forces and create MTAD.\xa0']",[],"['info@montgomerytownsend.com', 'info@montgomerytownsend.com']","[""'Charlottesville, VA, US'"", ""''"", ""'Seattle, WA, US'"", ""''""]"
ARKIS,"['\n\t', 'ARKÍS architects is a progressive design partnership practicing architecture, design, planning and green design consultancy.\xa0\xa0\xa0 ARKÍS was founded in 1997, but from the firm’s founding ARKÍS architects have executed projects at various scales and levels of complexity, both in Iceland and internationally, for institutional, private, and civic clients.\xa0', 'ARKÍS architects are driven by the pursuit of quality and the belief that the built environment has the inherent potential to improve the quality of our lives.\xa0 Moreover, ARKÍS architects are committed to sustainable design practices.', 'ARKÍS architects are the recipient of numerous awards and honors.\xa0\xa0 Recent works include Holmen Aquatics Center, Holmsheidi Prison, the Icelandic Institute of Natural History, Snaefellsstofa Visitor Center and University of Reykjavik.', 'The office of ARKÍS architects is located in Reykjavik, Iceland.']","[""'(+354) 511 2060'""]",['arkis@ark.is'],"[""'Kleppsvegi 152'"", ""'Reykjavík, IS, 104'"", ""''""]"
META architectuur bureau,"['META is a movement for meta-architecture that tries to convey its vision on architecture through building', 'META stands for renewed interest in the building process, interest for architecture itself.', 'META wants to make architecture that rises above the ordinary, from real practical issues without theoretical waste of time.', 'META loves difficult clients with high demands and a clear vision.', 'META doesn’t think aimlessly and time consuming, neither does it rush its actions.', 'META negotiates.', 'META tries to rewrite all the data into one story without worrying about expensive and complicated trends.', 'META builds in one action.', 'Timeless.', 'We live in an open time. Everything can be done or has already been done.', 'There are barely any cultures left and completely no more styles.', 'Modern and classical are vague concepts.', 'Architecture has lost its way.', 'It is either dried up functionalism the thinks form follows function, or it is pompous formalism that thinks form determines function.', 'Above, over and behind this architecture stands Meta-architecture.', 'The META-architecture reflects on architecture, through doing architecture, through building.', 'It talks about designing in the design.', 'Theory and practice, design and criticism, thinking and doing coincide.', 'The META-architecture is a meta-modernism.', 'Being Meta-modern means: dropping the content of the term modern by being modern in a different way in each commission.', 'The META-architecture doesn’t sell solutions and answers no questions.', 'It justifies all questions in a meaningful whole.', 'The META-architecture rejects not a single function and designs not a single form.', 'The form forms the function that functions as a form.', 'The building is an opinion about building.']","[""'+32 3 213 51 60'""]",['info@meta.be'],"[""'Grote Kraaiwijk 3'"", ""'Antwerp, BE, 2000'"", ""''""]"
Allen + Killcoyne Architects,"[""Established in 1989, Allen + Killcoyne Architects is a multidisciplinary firm established with a commitment to design excellence and client service. It is our belief that the working relationship between architect and client is what ultimately determines the success of any project. Our professional experience, personal involvement and creative talents combined with the client's ideas and budget, make for successful projects."", '\xa0', 'Depending on project needs, Allen + Killcoyne Architects, can offer a complete range of architectural services, from conceptual design through bid negotiation to on-site supervision. Working with specialty consultants, we also aid in providing services such as lighting design, landscape design and all fields of engineering and architectural graphics. Our interior design services can also include furnishings consultation and procurement. The firm has a strong commitment to sustainable design. We have been implementing and researching how to make projects that are more energy efficient and are healthier places that are less disruptive to the environment.']","[""'212-645-2222'"", ""'212-645-3539'""]",['dkarpel@allen-killcoyne.com'],"[""'12 West 27th Street'"", ""'17th Floor'"", ""'New York, NY, US, 10001'"", ""''""]"
Andrew Berman Architect,"['Andrew Berman Architect is focused on the realization of unique and finely executed buildings and spaces. The work of the studio capitalizes on the qualities of place, and seeks opportunities in the desires and programmatic requirements of each of our clients. Informed by working within the constraints of the dense urban fabric of New York City, Andrew Berman Architect utilizes an economy of means to create dignified and spatially rich architecture, engaged with its context and place.\n', '\xa0Andrew Berman Architect works on a wide range of project types and scales for public, institutional and private clients. Our interests and experiences allow us to approach each project on its own unique terms through an intense engagement with user and site, while drawing on our varied experiences in design and construction.\xa0', 'Since its founding in 1995 the practice has gained recognition through notable projects such as the Center for Architecture for the American Institute of Architects (2003), Writing Studio (2008), FDNY Engine Company 259 Firehouse (2009), MoMA PS1 Entrance Building (2011), The National Opera Center (2012), Stapleton Library (2013), and SculptureCenter (2014). In 2010, Andrew received the Emerging Voices Award given by The Architectural League of New York and in 2014, became a Fellow of the American Institute of Architects.\xa0In 2016 Andrew received the Architecture Award from the American Academy of Arts and Letters.\xa0Current public commissions include a new two-stage theater facility for MCC Theater in NYC, several public library commissions, several artist studios, and a chapel.']",,,
Atema Architecture,"['Atema Architecture is an innovative architectural firm based in New York City and focused on commercial and residential projects. We seek clients who share our belief that design is an opportunity for exploration and innovation, that design provides opportunities to create a better world, and that everything we build is a reflection of our values.\xa0', 'We have long experience in effectively integrating sustainable design strategies into our work, and we place a particular emphasis on creating strong collaborative teams with our clients, consultants, and builders from the outset of every project.']",,,
Johnson Favaro,"['\n\tEstablished in 1988, Johnson Favaro is an architectural planning and design firm that has successfully completed over $300 million worth of construction projects and scores of plans and studies for educational and cultural institutions, local governments, communities and private clients in the last ten years. Our services include all areas of planning and design, including master planning, programming, feasibility studies, facilities assessment, cost planning and conceptual design, building design, document production, construction administration and post occupancy services.']","[""'3105595720'""]",['info@johnsonfavaro.com'],"[""'5898 Blackwelder Street'"", ""'Culver City, CA, US, 90232'"", ""''""]"
Marmol Radziner,"['Leo Marmol, FAIA, and Ron Radziner, FAIA, formed their partnership in 1989, launching a unique design-build practice led by architects. Since its inception, the Los Angeles-based firm has developed a growing reputation for its innovative design approach, research, and precision in applying construction standards. The firm’s unique business practice and commitment to design excellence was rewarded with the American Institute of Architects California Council’s 2004 Firm of the Year Award. In 2007, both Marmol and Radziner were elevated to the prestigious College of the Fellows of the American Institute of Architects. Interior Design inducted them into the magazine’s Hall of Fame in 2009 and Architectural Digest named Marmol Radziner one of its AD100 in 2010.', 'By adopting the role of the traditional “master builder,” Marmol Radziner integrates design services with a variety of construction capabilities. A wide range of in-house skills underpins the work of the practice, including architects, interior and landscape designers, metal fabricators, carpenters, furniture and cabinet-makers, and construction crew. The firm strives to provide a unique architectural identity and build connections between indoor and outdoor spaces while actively collaborating with clients.', 'Today, a breadth of projects distinguishes the firm, from small, intimately scaled residences to large public and community urban proposals. Residential projects include those for Tom Ford, former Creative Director of Gucci and Yves Saint Laurent in Los Angeles, London, Paris, and Santa Fe, fashion designer John Ward in Rustic Canyon, and a private residence, Altamira Ranch, in Rancho Palos Verdes. The practice’s commercial and civic projects include The Accelerated School in South Central Los Angeles, the LEED Platinum-certified TreePeople Center for Community Forestry, TBWA\\Chiat\\Day ad agency’s San Francisco offices, and boutiques for Chan Luu, Vince, Maxfield, and James Perse.', 'Established as a leader in the field of modern architectural restoration, Marmol Radziner’s work includes the Kaufmann House in Palm Springs, originally designed by legendary architect Richard Neutra in 1946. For the firm’s meticulous restoration, it was honored with awards from the American Institute of Architects and The California Preservation Foundation.', 'From 2005 to 2009, the American Society of Landscape Architects recognized the firm’s landscape department with four prestigious national and local awards for residential projects in Los Angeles. In the fall of 2005, the firm launched Marmol Radziner Prefab, which prefabricates custom modern steel-frame residences that are delivered to the project site virtually complete. The enterprise has since been awarded a coveted 2006 Silver IDEA, sponsored by BusinessWeek, and the industrial Designers Society of America.']","[""'310 826 6222'"", ""'310 826 6226'""]",[],"[""'12210 Nebraska Avenue'"", ""'Los Angeles, CA, US, 90025'"", ""''""]"
Martin Fenlon Architecture,['Martin Fenlon Architecture is a Los Angeles-based architecture and design firm.'],"[""'(323) 739-9440'""]",['info@martinfenlon.com'],"[""'5526 Monterey Road'"", ""'Los Angeles, CA, US, 90042'"", ""''""]"
"CAW Architects, Inc.","['We design new buildings on distinguished campuses, in vibrant downtowns and stately neighborhoods. We give old buildings a new lease on life, infusing them with energy and economic vitality whether they are historic buildings in need of careful rehabilitation or existing buildings awaiting fresh uses.', 'CAW Architects understands that each project is unique and must resolve design, function, and budget. We guide our clients through the complicated process of design, entitlement, and construction. Clarity of plan, sustainable materials, abundant daylight, energy efficiency, and thoughtful response to site and climate are the tools we use to craft our projects.', 'Our many repeat clients are a proud testament to our success in creating superbly designed projects that respond to our clients’ needs.']",,,
Atelier Barda architecture,"['Atelier Barda is an architectural firm that adapts its methodology to the unique requirements of each mandate. Our multidisciplinary practice is guided by a commitment to fulfilling and even exceeding the design brief by pushing creative boundaries.', 'From research to concept to construction, we work in close collaboration with the client, approaching spaces in an open, constructive and sensitive manner, and paying attention to every detail. Our portfolio features a wide variety of innovative projects entrusted to us though private commissions and competitions.\n']","[""'514-360-2223'""]",[],"[""'Montreal, QC, CA, H2S 2X3'"", ""''""]"
Chybik + Kristof Architects & Urban Designers,"['(*2010, Brno, Czech Republic)', 'Extensive experience from the Czech Republic and abroad makes it possible for us to appreciate a\xa0large number of contexts. Our major ambition is to come up with proposals that accentuate local qualities and resonate worldwide. We believe this approach has the potential to positively affect the way our planet evolves.', 'This constitutes our studio’s DNA. At present, we are a\xa0team of 40 architects from all over the world. We are convinced that this diversity ensures a\xa0variety of insights and perspectives. A\xa0pivotal part of our approach is promoting architecture. We constantly seek to present our projects to the public, introducing them, on a\xa0regular basis, in a\xa0number of professional as well as lifestyle magazines across the globe.', 'Team', 'The first thing we do is create a\xa0strong multidisciplinary team for each project. Also, we believe a\xa0professional discussion with civil engineers, specialists in the field of energy efficiency, landscape architects, interior designers, and experts in sociological composition of users should start as early as the first sketch stage, and subsequent development of the project should reflect the conclusions arrived at during this discussion. The result is a\xa0team comprising about 20 members. These people work on and develop the proposal with due professional care and diligence.', 'Research', 'Our internal research team takes about two weeks to investigate existing approaches to the chosen topic before the studio actually commences work. The aim is to become familiar with the relevant issues and how these issues have developed.', 'Design stage', 'After visiting and investigating the site, our internal team of architects go on to consider the largest number of alternative approaches possible. We normally create dozens of approaches during the first volume stage. Such testing provides us with accurate knowledge of the site, context and the client’s specifications. While working on alternatives we also discover what could be called the first “load-bearing” elements of the final proposal. The final proposal is typically a\xa0composite of load-bearing elements forming the basis of each of such alternatives.', 'Result', 'We do not provide or advocate generic solutions. Instead, we always strive to propose a\xa0unique, innovative, sustainable, and site- and client-specific project.', '\xa0(* 1985, Brno, Czech Republic) studied architecture and urban design in Brno, in Graz and at\xa0', '. He is a\xa0holder of the Rector’s Award from BUT in Brno (Brno University of Technology) and he won the Bohuslav Fuchs award for best project design at the Faculty of Architecture of the Brno University of Technology. After completing his studies, he worked at the Viennese studio, PPAG.\xa0His work was exhibited at the\xa0', '\xa0NYC as part of Uneven Growth exhibition. In 2015 Forbes selected him in “', '” list.', '\xa0(* 1986, Kláštor pod Znievom, Slovakia) studied architecture and urban design in Brno and Brussels and is also holder of the Rector’s Award from BUT in Brno. After graduation he worked at\xa0', '\xa0in Copenhagen.\xa0In 2016 Forbes selected him in “', '” list.']","[""'00420 777 575 434'""]",['pr@chybik-kristof.com'],"[""'Zamecnicka 5'"", ""'Brno, CZ, 60200'"", ""''""]"
PLB studio,"['PLB Studio is interested in the digital realm of design and theory. What is / will be the outcome of a society that thinks and creates mainly through digital means? Advocating that we only exist as members of a digital network we ultimately entail a conversation that defeats conventional time and space organization. PLB’s work depends integrally on the operation of digital processes and has poetic qualities and meaningful form.', 'PLB Studio was founded in New York by two enthusiastic young international architects - Severino Alfonso and Loukia Tsafoulia - who have seen the potential for a multidisciplinary platform that moves in-between the physical and the digital; Two realms that meet each other through the use of advanced Computation and Fabrication technologies.', 'PLB sketches ideas, manifests theories, diagrams concepts to ultimately elaborate designs and representations.', 'PLB offers services based on an extensive experience in the realm of advanced digital creations in the fields of Architecture, Design and Social Media.', 'PLB collaborates with other design companies and individuals to develop cutting edge projects.', 'PLB participates in international competitions as a way to generate methodologies and to question pre established design boundaries.', 'PLB is academically active in several schools and institutions in New York as an extension to the office’s projects, through courses, research and criticism on Urbanism, Architecture and Interior Design.\xa0 \xa0\xa0', 'We are creators always in search for collaborations that look for innovation and desire to push the boundaries of our discipline and its multiple extensions. We are excited to challenge the unknown and develop further pre conceived ideas.\xa0\ufeff']",[],['info@plbny.com'],"[""'Brooklyn, NY, US, 11201'"", ""''""]"
Aires Mateus,['Architectural Practice based in Lisbon.'],,,
